LAD20CD,LAD20NM,WOODLAND_AREA,AREALHECT,WOODLAND_COVER,Percentage of area
S12000014,Falkirk,4522.02316,29712.75,0.152191337,15.21913374
S12000017,Highland,424647.1862,2565317.35,0.165533978,16.55339782
S12000018,Inverclyde,2131.21074,16043.87,0.13283645,13.28364503
S12000019,Midlothian,4720.437031,35368.18,0.133465647,13.34656471
S12000020,Moray,67706.34396,223755.42,0.302590856,30.25908555
S12000021,North Ayrshire,15255.56881,88528.5,0.172323814,17.23238145
S12000023,Orkney Islands,215.2217695,99052.14,0.002172813,0.217281292
S12000026,Scottish Borders,100206.1291,473178.03,0.211772573,21.17725734
S12000027,Shetland Islands,52.69891943,146747.83,3.59E-04,0.035911209
S12000028,South Ayrshire,36610.37545,122222.8,0.299538019,29.95380195
S12000029,South Lanarkshire,32531.01755,177189.3,0.183594707,18.35947066
S12000030,Stirling,57451.18191,218615.74,0.262795268,26.27952677
S12000033,Aberdeen City,2337.710628,18561.04,0.125947179,12.5947179
S12000034,Aberdeenshire,112612.4966,631261.48,0.17839279,17.83927899
S12000035,Argyll and Bute,209029.7921,690693.98,0.302637345,30.26373447
S12000036,City of Edinburgh,2799.744044,26339.06,0.106296278,10.6296278
S12000038,Renfrewshire,3385.529395,26148.77,0.129471841,12.94718411
S12000039,West Dunbartonshire,3763.630003,15876.57,0.237055611,23.70556111
S12000040,West Lothian,8623.068303,42774.27,0.201594751,20.15947508
S12000041,Angus,22910.9577,218145.21,0.105026178,10.50261782
S12000042,Dundee City,401.3648696,5980.06,0.067117198,6.711719775
S12000045,East Dunbartonshire,2965.693612,17448.9,0.169964503,16.99645027
S12000047,Fife,17822.26556,132519.01,0.134488369,13.44883694
S12000048,Perth and Kinross,98829.35169,528560.47,0.186978326,18.69783257
S12000049,Glasgow City,1607.549452,17462.13,0.092059185,9.205918478
S12000050,North Lanarkshire,10201.30283,47000.22,0.21704798,21.70479804
W06000001,Isle of Anglesey,3402.106178,71206.51,0.047778022,4.777802168
W06000002,Gwynedd,39381.78752,253514.34,0.155343432,15.53434315
W06000003,Conwy,15003.93469,112582.26,0.133270861,13.32708607
W06000004,Denbighshire,13148.53138,83691.72,0.157106717,15.71067171
W06000005,Flintshire,4338.19691,43983.04,0.098633403,9.863340301
W06000006,Wrexham,4813.909788,50377.39,0.095556951,9.5556951
W06000008,Ceredigion,27493.50574,178498.11,0.154026873,15.40268731
W06000009,Pembrokeshire,15512.00222,161834.49,0.095851028,9.58510279
W06000010,Carmarthenshire,39532.00793,237027.63,0.166782277,16.67822774
W06000011,Swansea,4374.931557,37761.45,0.115857086,11.58570859
W06000012,Neath Port Talbot,17338.91563,44124.47,0.392954649,39.29546492
W06000013,Bridgend,4145.115455,25078.52,0.16528549,16.52854895
W06000014,Vale of Glamorgan,2790.736242,33114.86,0.084274439,8.427443877
W06000015,Cardiff,1582.160838,14091.44,0.112278152,11.22781517
W06000016,Rhondda Cynon Taf,11606.25582,42415.02,0.273635514,27.36355144
W06000018,Caerphilly,5664.643357,27738.79,0.204213787,20.42137872
W06000019,Blaenau Gwent,1635.706493,10872.79,0.150440365,15.04403647
W06000020,Torfaen,2022.248813,12569.87,0.160880647,16.08806466
W06000021,Monmouthshire,13931.04641,84914.29,0.164060094,16.40600941
W06000022,Newport,2051.929376,19043.11,0.1077518,10.77517998
W06000023,Powys,78212.925,518067.05,0.150970661,15.0970661
W06000024,Merthyr Tydfil,1885.797044,11144.63,0.169211274,16.92112743
